source,country,link,author,published,headline,subheading,content
FoxNews,UnitedStates,https://www.foxnews.com/world/russia-mass-missile-attack-ukraine-civilians-dead-zelenskyy-criticizes-putin,Greg Norman,2023-03-09T09:49:22-05:00,Russia's 'mass missile attack' across Ukraine kills 6 as Zelenskyy rips Putin's 'pathetic tactics',Overnight missile barrage comes after Moscow alleges Ukraine killed Russian civilians,Greg Norman is a reporter at Fox News Digital.
FoxNews,UnitedStates,https://www.foxnews.com/world/russia-launches-major-missile-barrage-across-ukraine-impacting-kyiv-zaporizhzhia-nuclear-plant,Lawrence Richard,2023-03-09T05:36:16-05:00,"Russia launches major missile barrage across Ukraine, impacting Kyiv and the Zaporizhzhia nuclear plant",Ukraine's Chief Commander of the Armed Forces Valerii Zaluzhnyi said about three dozen missiles had been intercepted,"Russia launched a major missile barrage on Ukraine early Thursday morning, striking dozens of residential buildings, leaving at least six people dead, and compromising a major nuclear plant, Ukrainian officials said.The attack included more than 80 missiles and eight drones striking targets across Ukraine, including the capital city of Kyiv. It was the largest of the attacks in recent weeks.""Last night, Russia attacked Ukraine with 81 missiles and 8 Shahed drones. [Thirty-four] cruise missiles and 4 drones were shot down by Ukraine's air defense. [Eight] [Russian] missiles missed their targets,"" the Ukrainian Defense Department said.As a result of the attack, the Zaporizhzhia Nuclear Power Plant, previously conquered by Russian troops, lost power, according to nuclear state operator Energoatom.According to Energoatom, the nuclear plant relies on 18 diesel generators, which can run the station for 10 days. This is the sixth time the plant has suffered a blackout after it became occupied by Russian troops months ago.The Zaporizhzhia plant has been subject to international concern as a potential explosion or meltdown could result in unprecedented destruction to the surrounding areas.""The countdown has begun,"" Energoatom said.Lviv Gov. Maksym Kozytskyi said five people were killed in the Lviv region and three buildings were destroyed. The number of fatalities could climb as rescue workers are continuing to comb through the rubble, he said.Dnipropetrovsk Gov. Serhii Lysak said a sixth person was killed, and two others were wounded in multiple strikes across the region.Odesa Gov. Maksym Marchenko also said residential buildings were hit and several power lines were damaged. In addition, at least six missiles and one drone were shot down.Three power stations owned by private electricity operator DTEK were also reportedly struck during the attack. There were no casualties, but the equipment was severely damaged, the company said.Kyiv Mayor Vitali Klitschko said three people were wounded in the city’s Sviatoshynskyi district and infrastructure, and vehicles in the city were also destroyed.""We woke up from the explosion, it was very loud and we saw the cars burning,"" said Maryna Kuryluk, a 49-year-old resident.An alarm remained in Kyiv overnight and into the early morning hours. It was lifted just before 8 a.m.Russia’s missile barrage came as its forces advanced into Ukraine’s Bakhmut, where the two sides have fought for six months. Much of the city has been destroyed or reduced to ash.The attack also came after U.N. Secretary-General Antonio Guterres visited Kyiv for talks with Ukranian President Volodymyr Zelenskyy on keeping Ukrainian shipping ports open to ship grain from its Black Sea ports.Ukrainian Energy Minister Herman Halushchenko condemned the missile strikes as ""another barbaric massive attack on the energy infrastructure of Ukraine,"" mentioning on social media that facilities in Kyiv, Mykolaiv, Kharkiv, Zaporizhzhia, Odesa, Dnipropetrovsk and Zhytomyr regions had been targeted.The last massive barrage took place on Feb. 16.The Associated Press contributed to this report."
FoxNews,UnitedStates,https://www.foxnews.com/world/estonian-pm-majority-party-start-coalition-talks,,2023-03-08T17:27:06-05:00,"Estonian PM, majority party start coalition talks",Prime Minister Kaja Kallas' Reform Party and 2 others may be looking to form a coalition government,"Estonia's center-right Reform Party started talks with two smaller parties Wednesday about forming a new liberal-minded coalition government.The party of Prime Minister Kaja Kallas won the Baltic nation's general election on Sunday with 31.2% of the vote.Kallas hosted a meeting of delegates from the Reform Party, the centrist Estonia 200 party and the left-leaning Social Democratic Party at Stenbock House, where the Estonian prime minister's office is located in the capital, Tallinn.The Reform Party was the senior partner in the outgoing three-party government. Although it won nearly twice as many votes Sunday as the election's runner-up, the far-right populist Conservative People’s Party of Estonia, or EKRE, Kallas needs junior partners to form a Cabinet that can govern with a comfortable majority for the next four years.The emergence of parliament newcomer Estonia 200, a centrist party advocating liberal values, was the biggest surprise of the election. It won 13.3% of the vote and 14 seats in Estonia’s 101-seat parliament, or Riigikogu. The Reform Party won 37 seats and the Social Democrats nine.Estonia 200, which defines itself as a ""progressive and forward-looking political party,"" failed to exceed the 5% threshold needed to enter the Riigikogu in 2019. This time, the party gathered an array of well-known Estonian cultural figures, academics, business people and politicians as candidates.According to Estonia 200 chairman Lauri Hussar, the common denominator of the three parties lies primarily in the spirit of reform.National security in the wake of neighboring Russia’s invasion of Ukraine and socio-economic issues, particularly the rising cost of living, were the main campaign themes of the election.EKRE which ran largely on an anti-immigration and anti-EU platform, was part of Estonia’s government in 2019-21."
FoxNews,UnitedStates,https://www.foxnews.com/media/fox-news-benjamin-hall-doesnt-worry-about-near-fatal-injuries-when-surrounded-wife-three-daughters,Brian Flood,2023-03-08T14:51:49-05:00,"Fox News’ Benjamin Hall doesn’t worry about near-fatal injuries when surrounded by wife, three daughters",Hall was severely injured outside Kyiv while covering Russia’s invasion of Ukraine,"Alicia, who also spoke to PEOPLE, explained the difficult situation she was in when it came to informing his daughters, who were only six, four and two years old at the time."
FoxNews,UnitedStates,https://www.foxnews.com/media/hillary-clinton-ukraine-conflict-shows-climate-change-primarily-affects-women,Hanna Panreck,2023-03-08T11:30:12-05:00,Hillary Clinton: Ukraine conflict shows climate change primarily affects women,"Clinton joined MSNBC's Mika Brzezinski, First Lady of Ukraine Olena Zelenska, Billie Jean King and Gloria Steinem on stage",Hanna Panreck is an associate editor at Fox News.
FoxNews,UnitedStates,https://www.foxnews.com/world/ukraines-first-lady-olena-zelenska-travels-united-arab-emirates-country-remains-open-russia,,2023-03-08T11:15:29-05:00,"Ukraine's first lady Olena Zelenska travels to the United Arab Emirates, a country that remains open to Russia",Zelenska spoke before a packed ballroom on International Women's Day,"Ukraine's first lady on Wednesday offered spirited support to her nation's people while visiting the United Arab Emirates, a country that still remains open to Russia despite Western sanctions.Olena Zelenska described her role and that of other first ladies and gentlemen in the world as a real power while speaking before a packed ballroom on International Women's Day. She also applauded the work of the average Ukrainian amid the ongoing war.""We are a force and we can continue to change the world,"" Zelenska said at the Forbes 30/50 Summit via a translator.Zelenska's trip to the United Arab Emirates capital comes as the UAE remains one of the few direct routes out of Moscow — for both people fleeing conscription and for the wealthy who want to park their money in a nation with access to Western financial markets.Already, the U.S. Treasury has expressed concerns with the Russian money flowing into Dubai's red-hot real estate market. Meanwhile, the superyachts of Russian oligarchs also have repeatedly turned up in the Emirates since the start of Moscow's war on Ukraine last year.However, the UAE has voted against Russia's invasion at the United Nations and has donated humanitarian aid to Ukraine since the war began. Her husband, Ukrainian President Volodymyr Zelenskyy, has held multiple calls with UAE leader Sheikh Mohammed bin Zayed Al Nahyan. Meanwhile, the UAE hosted the prisoner exchange that freed WNBA star Brittney Griner and Russian arms dealer Viktor Bout in December.Zelenska arrived in the UAE on Tuesday and met with Sheikh Mohammed at Qasr al-Bahar in Abu Dhabi, the country's capital. There, Sheikh Mohammed pledged $4 million to Zelenska's foundation that will go toward the construction of orphanages, the Emirates' state-run WAM news agency reported.""Sheikh Mohammed reiterated the UAE’s commitment to the people of Ukraine through ongoing humanitarian aid, while stressing the importance of international and regional efforts aimed at reaching a political solution to re-establish security, stability and peace,"" WAM said.Speaking before the crowd, Zelenska recounted the story of a schoolteacher still leading her students via a video call from a snowy street, even though power and internet connections remain shaky in the country. She also brought up a 30-year-old female combat medic killed in the fighting near Bakhmut in the east, which drew a gasp from the women gathered at the summit.""We are inspired by the examples and I’m sure these exmaples will stay in our hearts forever,"" Zelenska said."
FoxNews,UnitedStates,https://www.foxnews.com/world/ukraines-bakhmut-may-fall-days-says-nato-chief-russia-claims-victory-eastern-half-city,Caitlin McFall,2023-03-08T10:59:20-05:00,"Ukraine's Bakhmut may fall in days, says NATO chief, as Russia claims victory over eastern half of city",Stoltenberg says NATO needs to ramp up arms production in order to keep supplies flowing to Ukraine,"His comments followed claims by Russia’s mercenary Wagner Group which said it had taken the eastern part of the city after months of a brutal ground and air offensive.Fox News Digital could not verify the group's claims and Stoltenberg did not confirm whether any part of the city has yet fallen to Moscow.Despite the heavy losses Russia has suffered, Moscow has continued to funnel in ill-equipped and ill-trained troops to bombard Ukrainian defenses and attempt to choke the city.The NATO chief said it is vital to step up the production and supply of arms to not only Ukraine, but to shore up the alliance’s defenses.Major advances in the war from either side have largely stalled in the months since, though officials are gearing up for another round of intense warfare on multiple fronts as the spring months loom.Caitlin McFall is a Reporter at Fox News Digital covering Politics, U.S. and World news."
FoxNews,UnitedStates,https://www.foxnews.com/world/bidens-political-afghanistan-strategy-gutted-us-credibility-army-vet-congressman-says-hearings-begin,Michael Lee,2023-03-08T09:45:44-05:00,"Biden's 'political' Afghanistan strategy gutted US credibility, Army vet congressman says as hearings begin",Hearings on the Afghanistan withdrawal are set to begin Wednesday,"Rep. Cory Mills took aim at President Biden for his handling of the U.S. withdrawal from Afghanistan – arguing the president placed ""political optics"" over military strategy in the chaotic final months of America's longest war.""Biden's administration originally said they'd be out by Sept. 11, trying to utilize this date for political optics above military strategy,"" Mills, R-Fla., told Fox News Digital Tuesday.Mills, a veteran of the Army's 82nd Airborne Division who spent seven years in Iraq and nearly three years in Afghanistan, became personally involved in the withdrawal mission. Despite running a congressional campaign at the time, Mills assembled a team to help him evacuate an American mother from Texas and her three children who were stranded in Afghanistan.But when the team Mills assembled attempted to land in Afghanistan for the extraction, they were denied the ability to use the runway they had previously been approved for. Subsequent attempts to land were also denied, with American leaders on the ground threatening to arrest the passengers if they landed and revoke the license of the pilot.They duped a Taliban guard by convincing him that the woman was his wife and the children were his, Mills added. The congressman said such extraordinary measures would not have been necessary if the withdrawal from Afghanistan were better planned, pointing to the closure of Bagram Air Base as an example of failed leadership.Mills also pointed to the release of thousands of ""known terrorists"" from Bagram Detention Center, arguing the decision led to the deadly Aug. 26 attack on American forces at an airport gate in Kabul, killing 13 U.S. service members.""I think the critical failure was always the idea of putting politics and optics above strategy, that the real intent wasn't just to try and save all the Americans or allies who we've made promises to over the past two plus decades,"" Mills said. The administration quickly began boasting about ""the most successful airlift operation"" in U.S. history but left many Americans and allies behind while ""60 to 70%"" of those evacuated from Kabul were ""never vetted,"" Mills said.Worse yet, Mills argued, the chaotic failure of the final days of America's longest war could have been avoided had the administration stuck to the terms of the deal bargained with the Taliban under the Trump administration. He noted that former Secretary of State Mike Pompeo had set conditions for what the Taliban had to do in order for American forces to leave, and those obligations were not being met. Despite that, Biden broadcast the U.S. timeline withdrawal to the Taliban.""I think we made some critical and fatal flaws, not to mention the fact that one of the grand flaws in my opinion is that you left 80-plus billion dollars in weapons and armor, defense articles, and millions of dollars and pallets of cash,"" Mills said.Mills argued the blame for the failure falls on Biden, who as commander in chief had the final say in all decisions made.""This botched withdrawal ultimately led to our adversaries coming more aggressive toward us because they looked at this as a massive failure on a world stage level, and we know that weakness invites aggression,"" Mills argued.Mills pointed out that not only will Afghanistan be allowed to become a safe haven for terrorism once again, but also that the ramifications are already being felt when it comes to dealing with other geopolitical foes such as China and Russia.""There's truly a lot that has come out of this that has essentially damaged our credibility on the world stage and makes many of our allies and others look at us and whether we're truly a world leader any longer,"" Mills said.Mills argued that hearings beginning this week, taking place after the Republican takeover of Congress this year, are an opportunity to examine the critical questions surrounding the failures in Afghanistan while giving the American people answers on what went wrong in the war's final days."
FoxNews,UnitedStates,https://www.foxnews.com/politics/trump-impeachment-witness-alexander-vindman-accused-profit-ukraine-war-defense-contracts,Brandon Gillespie,2023-03-07T20:20:30-05:00,Trump impeachment witness Alexander Vindman accused of trying to profit off Ukraine war with defense contracts,"Sen. Marsha Blackburn called key impeachment witness Vindman an 'opportunist,' while he fired back at her accusations","Retired Lt. Col. Alexander Vindman, who made waves as a witness during the first impeachment proceedings of former President Donald Trump, is now being accused of trying to profit off the war in Ukraine by pitching lucrative defense contracts through his private company.In a statement to Fox News Digital, Sen. Marsha Blackburn, R-Tenn., who was one of the sharpest critics of Vindman throughout the impeachment investigation, blasted him as an ""opportunist,"" and accused him of undertaking continuous efforts to try and personally profit from his attacks against the Trump administration to his reported dealings in Ukraine.The first impeachment of Trump centered around a July 2019 call in which Trump pressed Ukrainian President Zelenskyy to launch investigations into the Biden family’s actions and business dealings in Ukraine—specifically Hunter Biden’s ventures with Ukrainian natural gas firm Burisma Holdings. The president’s request came after millions in U.S. military aid to Ukraine had been frozen, which Democrats and some witnesses, including Vindman, cited as a quid pro quo arrangement.""When conservatives speak the truth, the mainstream media panics and desperately attempts to provide cover for the left. They did this for Alexander Vindman, just like they did for Hunter Biden, Dr. Fauci and teachers unions,"" Blackburn said, referencing liberal media outlets' staunch defense of Vindman throughout his time as a witness during the impeachment investigation.""Alexander Vindman has always been a political activist and opportunist masquerading behind his career. He saw an opening for personal fame and profited by exploiting the media’s outrage against President Trump,"" she accused.""Vindman has spent the last three years on MSNBC and CNN attacking Republicans. Now, new revelations suggest Vindman could be profiting off the war in Ukraine, just as he did by speaking out against the Trump administration,"" Blackburn added.According to a report by Human Events, a conservative digital newspaper, Vindman has been pitching the government of Ukraine to obtain defense contracts through Trident International LLC, of which he is the CEO.The report stated that last year, Vindman, who was born in Ukraine, pitched a project worth $12 million that his company said would address the country's problems with managing the readiness, repair and maintenance of its weapons systems by developing a center within the country to essentially operate as a middle-man between NATO and the Ukrainian military.It's unclear, however, if the project has been approved as the report stated court documents showed there was an ongoing dispute over payments related to the project.According to Breitbart News, Vindman appeared to confirm Human Events' report in a now deleted tweet.""Thanks for the advert. I’m trying to get logistics in place to help Ukraine win the war and secure America. Looking for philanthropic contributions to get it going. Reach out if you support the cause of democracy and US National Security,"" Vindman allegedly tweeted.Speaking with Fox News Digital, Vindman responded to the accusations by blasting Blackburn, accusing her of lying and contributing to him ultimately leaving the military.""Ooh, Blackburn. She’s an idiot, an agent of chaos promoting disinformation. She has never said one true thing about me. Her attacks in 2019/20 contributed to an environment that made it impossible for me to continue my nonpartisan military service,"" Vindman said.""More importantly, it’s the politicization of Ukraine, by the fringe right, that brought about this war, imperiling Ukraine, Europe, and most importantly the U.S.,"" he added.Fox News' Brian Flood contributed to this report.Brandon Gillespie is an associate editor at Fox News. Follow him on Twitter at @brandon_cg."
FoxNews,UnitedStates,https://www.foxnews.com/politics/us-intelligence-pro-ukraine-group-nord-stream-pipeline-attacks-report,Danielle Wallace,2023-03-07T11:46:23-05:00,US intelligence says pro-Ukraine group behind Nord Stream pipeline attacks: report,"Pro-Ukrainian groups might be behind Nord Stream pipeline blasts, report says",The multi-billion-dollar infrastructure projects have long been condemned by the West as national security threats in allowing Moscow to sell gas more easily to Europe.
