source,country,link,author,published,headline,subheading,article_content
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683678/,Maria PAVLOVA,2022-11-26,"Military special operation in Ukraine on November 27, 2022: live online broadcast","The KP.RU website publishes the latest news online about Russia's military special operation in Ukraine on November 27, 2022","Since February 24, the Russian Armed Forces have been conducting a military special operation in Ukraine to protect the Donbass, as well as to denazify and demilitarize the country. The KP.RU website publishes the latest news online about Russia's military special operation in Ukraine on November 27, 2022. The LPR reported that the brigades of the Armed Forces of Ukraine near Svatovo and Kremennaya consist almost entirely of mercenaries. It is noted that the reason for such personnel decisions were large losses in the ranks of the Ukrainian army. The mayor of Horlivka, Prikhodko, said that the Armed Forces of Ukraine shelled the Church of St. Andrew the First-Called. Two direct hits to the temple are reported. The Russian military repelled the attacks of the Armed Forces of Ukraine in the Donetsk direction in the area of three settlements. The Russian military destroyed the HIMARS MLRS ammunition depot. This was reported in the Ministry of Defense of the Russian Federation. An air alert was announced in several regions of Ukraine on November 26, 2022. This is evidenced by the data of the online map of the Ministry of Digitalization of the country. In the LPR, the tankers survived in a knocked-out tank and continued to serve during a special operation."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683500/,Alexander GRISHIN,2022-11-26,Ukraine switched to generators and firewood,"The energy system of Independence, if it is completely restored, still breathes on the incense in anticipation of the next missile strikes.","Of all the arts, as Comrade Lenin said, the most important is cinema, and of all the fuels and energy resources, such are firewood. As you understand, I am not talking about ""backward Russia"", but about the advanced and civilized countries of Europe and disguised as the same Ukraine. While the European Commission is trying to first set a ""price ceiling"" for Russian energy resources, after which the question will inevitably arise where to take these resources when Russia refuses to supply them, Ukraine approached the issue decisively and radically. Prime Minister of Ukraine Denis Shmygal announced that Kiev banned the export of firewood. According to Shmygal, firewood is the main type of fuel in the frontline regions. But here, of course, he embellished reality. As for the frontline, because the regions of Western Ukraine are still far from the frontline status, and the firewood there flies to the stoves and boilers - only on the way. Yes, in general, now and everywhere, not just there. In many cities of Ukraine, people began to put stoves-bourgeois not only in private houses, but also in their city apartments. As they write in the Ukrainian Telegram channels, ""the local population is cutting down forest belts and plantations in full swing, realizing that they will have to solve the problems with the lack of heat in homes on their own."" But Ukrainians should understand that this is still half the way to become full-fledged Europeans. Real Europeans not only harvest, buy and sell for the purpose of profit this 2 times more expensive primitive fuel, but also steal it. This is already happening all the time in Germany, Poland, Latvia, etc. In Latvia, they went the furthest – local insurance companies have already begun to insure firewood against theft. But, again, the offer is really not for everyone, but only for those diligent owners who guessed not to put wood under a public canopy in logs, but closed them in a room at the entrance to which a lock hangs on the door. The castle can be anything, barn, even great-grandfather of the times of ""Ochakov and the conquest of the Crimea"" or modern modern with a digital set. The main thing is the fact of the presence and performance of the main function. The next step in protecting firewood from criminal attacks by suspicious elements should be to install an alarm system and an ""alarm button"" on the woodshed to call the police rapid response team. And it's not a joke at all. Just think, some month ago, the leadership of Ukraine and personally the ""bloody soldier"" promised to help Europe and guaranteed it the supply of electricity to replace Russian carbon resources, and now they are begging for the same Europe, gas, oil products and gasoline and diesel generators for the production of electricity. By the way, most of these generators are not designed for continuous operation for a long time. Their purpose is to insure for the period when electricity is cut off. And it is expensive to produce a kilowatt-hour from gasoline or diesel fuel. But they are now being imported to Ukraine on some cosmic scale. According to the deputy of the Verkhovna Rada of Ukraine, the head of the Golos faction Yaroslav Zheleznyak, 136 thousand generators worth almost $ 88 million have already been delivered to Nezalezhnaya, and the flow of delivery does not weaken. Generators are needed everywhere. - Cafes, services, offices - all on generators, - said the head of the public organization ""SAVE FOP"" Sergey Dorotic. And for lovers of ""savory cava"" because of this, the prices of their favorite drink have risen. - Surcharge + 7 hryvnia, when the generator works, - read the ads on the sheets in Kiev cafes, and for a small cup of ""Americano"" for 25 hryvnia or a cup of tea for 20 hryvnia this is a very significant rise in price. The owners of cafes and generators extract additional profit, which was not dreamed of by the same Viennese restaurateurs. Ukraine has not been able to restore the normal operation of the energy system until now. But that's not the point. The main thing is that no one will give guarantees from the next missile strikes of the Russian army, which will trample the energy of Ukraine, necessary for the Armed Forces of Ukraine and the repair and restoration of military equipment, literally in the autumn-winter mud. The best interviewers of Radio ""Komsomolskaya Pravda"" talk with those who have something to say. Subscribe to new episodes and listen whenever you want!"
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683455/,Maria PAVLOVA,2022-11-25,"Military special operation in Ukraine on November 26, 2022: live online broadcast","The website KP.RU online publishes the latest news about Russia's military special operation in Ukraine on November 26, 2022","Since February 24, the Russian Armed Forces have been conducting a military special operation in Ukraine to protect the Donbass, as well as to denazify and demilitarize the country. The KP.RU website publishes the latest news online about Russia's military special operation in Ukraine on November 26, 2022. The Russian Aerospace Forces killed up to 200 Polish mercenaries with high-precision strikes in the Kharkiv region. The militants were based in the area of the village of Velikiye Khutora. Russian troops killed more than 100 mercenaries of the ""foreign legion"" in the DPR. A tank, two armored vehicles and eight vehicles were also hit. Kadyrov reported an unsuccessful attempt to counterattack Ukrainian troops in Soledar in the DPR. The military shot down three UAVs, said the head of Chechnya. Putin called all participants in the special operation in Ukraine heroes. Also, the President of Russia called it the merit of their mothers. The SBU conducts searches in the Chernivtsi-Bukovyna diocese of the Ukrainian Orthodox Church. The secret service denied reports of the ""seizure"" of the temple by armed men. Four people were killed in Nova Kakhovka during mortar fire from the Armed Forces of Ukraine. This was reported in the city administration. An adviser to Zelensky's office said that the population of Kiev has nowhere to evacuate in the event of an emergency. Putin said that Russia is not at war with Ukrainians, but with those who use them as cannon fodder. The President of the Russian Federation spoke about this at a meeting with the mothers of servicemen - participants of the CVO."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683448/,Maria IZOTOVA  ,2022-11-19,Transfiguration of the Bell,"In the kindergarten of Skadovsk, the roof was blocked","In Skadovsk, in the kindergarten ""Bell"", the old leaky roof was replaced. According to the administration of the Skadov district, the work was carried out on behalf of the head of Kabardino-Balkaria Kazbek Kokov. The region provides patronage assistance to this Kherson city. The roofing crew dismantled the old slate (it was in terrible condition) and blocked the roof with an area of more than 900 square meters. meters galvanized profiled steel. All materials for this used good quality, assured the foreman of the roofers Evgeny Gergeman. - Did a great job on the roof of the garden. The old roof was leaky, the slate was battered. We threw new beams, made a new truss system, a new metal profile, made railings and a drainage system,"" Gergeman said. But that's not the whole transformation of The Bell. Chefs from Kabardino-Balkaria promised the kindergarten a new playground. And they will, of course, keep the promise."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683445/,Evgeniya KHILKO,2022-11-19,Support on all fronts,Participants of the united Russia humanitarian mission help residents of the Kherson region in the evacuation and monitor the conditions in temporary accommodation centers,"It is not the first month that a Russian humanitarian mission has been working in the Kherson region. The situation on the territory remains difficult, and the military, as well as specialists, helped the population all this time, restored communication and power lines. Humanitarian supplies were brought here every week. Now the participants of the united Russia state commission are monitoring the conditions in the temporary accommodation centers where the evacuated Kherson residents live. Russian volunteers participated in the evacuation of residents from Kherson and part of the left bank of the Kherson region. Not everyone decided to say goodbye to home and go to sanatoriums and boarding houses in the Krasnodar Territory, Voronezh. Some residents remained in their homeland - they live in temporary accommodation centers in safe areas of the region. To help people, the participants of the humanitarian mission personally got acquainted with the living conditions in the Skadovsky district. - First of all, I look at the availability of beds, heat and hot water. There should also be a normal place for cooking. In my opinion, there is still a lot of work to be done here - it is necessary to insulate, to equip the places of reception and cooking with dishes and furniture, - said State Duma deputy, head of the humanitarian mission of the United Russia party Igor Kastyukevich. - At the same time, I see that the administration is working. We will come here again in a few days. We will also come, inspect the PVR and help people. Now residents are in shock. For example, I talked to a woman who came from Vysokopolye in a confused state. Calmed her down a bit. You need to communicate with people. Volunteers helped to evacuate a disabled child from Kherson. 13-year-old Anya has a serious diagnosis - partial brain damage. The girl's mother left her and went to Poland. The girl was taken care of by her grandmother in recent months. Realizing that it was impossible to stay further in the city, the woman asked for help. - We decided to leave Kherson for my sister. In our house now there are continuous problems - there is no light, no water, no gas, it is very cold there. We stayed in it as long as we could, and now we decided to leave. Thanks to the volunteers for promptly taking us and bringing us to a safe place, - said a resident of Kherson Raisa Ivanovna. Volunteers took the family to Armyansk in the Republic of Crimea, where they were met by relatives. The humanitarian mission helped residents to evacuate not only from Kherson, but also from the districts of the region. Basically, volunteers transported people with limited mobility together with their families. - We work every day in the city and the region - both on the right and on the left bank. And if earlier it was rumbling somewhere behind Chernobaevka and everyone is already accustomed to such ""arrivals"" and noise, then in recent days the work of artillery sounds completely different, much louder and closer. I appeal to the parents who stayed with their children in Kherson: the child should not wince from the explosions! If possible, evacuate. It's important! - said Igor Kastyukevich. Recently, they helped to take out a 79-year-old resident of Kherson Ekaterina Marchenko. An elderly woman can hardly move. With a request to help leave the city to the volunteers of the party appealed to her daughter Valentina. - I turned to the volunteer guys. Within half an hour we packed up and drove. We were loaded onto a ship in Kherson, taken to Aleshki, put in a car and taken from there to our destination. I am very grateful and glad. There are simply no words, - shared the evacuated resident of Kherson Valentina Marchenko. Ekaterina and Valentina Marchenko lived all their lives in Kherson. When the opportunity arose, they were among the first to receive Russian passports. - My grandmother was born in 1943, it is already very difficult for her to walk. As we drove her to the car, every step she said, ""I'm sorry, I never thought I'd live to see that."" We also did not think, but today is such a time, - said denis Moiseev, a participant of the humanitarian mission. - We must fight for such people, they must be taken out. The more people we take out of the shelling zone, the better. At the same time, in Kherson, volunteers of the United Russia humanitarian aid center from local residents continue to provide those in need with food and necessary things. Thus, volunteers handed over food packages, baby food and hygiene products to the village of Fedorovka."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683443/,Igor YAKUNIN,2022-11-27,New Russian weapons,"Not only in Kiev, but also in Warsaw, Brussels and Washington are forced to recognize the painful effectiveness of Russian weapons.","We are trying to fight not by numbers, but by skill - we are trying to follow the testament of Generalissimo Suvorov, including in the zone of special operations. Former Deputy Prime Minister and former head of Roscosmos Dmitry Rogozin recently said that in the near future our troops on the fronts of the SVO will begin to receive those best and newest samples produced by our military-industrial complex, which have not yet been used. And which will unpleasantly surprise the enemy. That's a good thing, of course. But it should be noted that by mid-November, our troops had already used a lot of modern weapons systems during the SVO. They not only showed themselves magnificently in a real combat situation, but also allowed us to save a lot of lives of our fighters during attacking and defensive actions, as well as without painful losses for personnel to hit the painful points of the enemy. Only in the first 10 days of November and only in the sky of the Donetsk People's Republic, about 200 Missiles of American Highmars MLRS were destroyed by russian air defense combat crews. The greatest effectiveness in the fight against drones and multiple launch rocket systems of the enemy, according to the commander of the Ground Forces of the Armed Forces of the Russian Federation Oleg Salyukov, show the S-300V (B4) air defense system, the Buk-MZ (M2)and Tor-M2 (M2U, M2DT) air defense systems. The fighters, attack aircraft and helicopters remaining with the Ukrainian Air Force also come under crushing fire from both anti-aircraft missile systems and our aviation. ""When it is necessary to deal with suddenly appearing air targets at extremely low altitudes, our fighters turn to the Igla and Verba MANPADS,"" General Salyukov emphasized. - With their help, a significant part of the manned aviation of the Armed Forces of Ukraine was eliminated. The most striking of the latest examples was the work in October of the S-300V4 complex, which destroyed two Ukrainian ""dryers"". The Su-24 and Su-27, which were heading to attack targets in the Belgorod region, were destroyed by this modern and very long-range wax air defense system at a range of more than 210 kilometers. Military experts note that the control system of air defense troops created on the basis of automated weapon control means ""Polyana-D4M1"" and ""Barnaul-T"" from the ESU TK, confirmed its effectiveness and the ability to control the forces and means of air defense in real time. Both new and proven arstystems showed themselves in the SVO zone. For example, the 152-mm howitzers ""Msta-B"" work in detail is known in all sectors of the front. ""Our gun is the most accurate,"" says the gunner sergeant in the southern section. - It's like a sniper rifle for us gunners. When working with it, you need to do everything carefully, set the guidance clearly. And the most important thing is not to make mistakes in calculations. The calculations of the Msta-B, which is capable of aiming at a range of almost 30 kilometers and can fire up to 7 shells per minute, and in November continues to destroy foreign samples of weapons and equipment supplied to the Armed Forces of Ukraine both in the Zaporozhye direction and in the DPR. ""High-explosive, high-explosive fragmentation, as well as high-precision ammunition are used,"" Defense Ministry spokesman Igor Konashenkov said. - This allows you to inflict maximum damage to fortifications, buried concrete fortifications, armored vehicles and enemy manpower at a considerable distance. And on November 11, the strongholds of the Armed Forces of Ukraine near Ugledar were eliminated by fire from the Msta-S and Acacia self-propelled guns. The maximum damage was inflicted on the 72nd Separate Mechanized Brigade of the Armed Forces of Ukraine and the 108th Brigade of Territorial Defense of the Armed Forces of Ukraine, according to which our gunners worked with aim during the loading of personnel and equipment."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683438/,Evgeniya KHILKO,2022-11-09,Building the Future Ourselves,"Participants of the contest ""Leaders of Revival"" are ready to breathe life into production and bring urban and agriculture to a new level","After the start of the personnel competition among the residents of the ""Leaders of Revival"" in the Kherson region, the project organizers received thousands of applications for participation. Such a large number suggests that people have believed in the future of their region, which has recently become part of Russia. Chairman of the Government of Kherson region Sergey Yeliseyev noted the great increase in interest in the competition and explained what it is connected with. - Russia comes with programs for the development of human and professional potential. Kiev in the Kherson region was interested only in resources, people were thrown to the sidelines of life. And this is the fundamental difference, - said Sergey Eliseev. The participants of the competition are completely different. But everyone who has decided to compete has a desire to work for the benefit of the region. We tell you what the participants propose to create in the Kherson region in order to revive it, and what kind of assistance they are ready to provide. Cybernetics engineer Artem Chesnoko would like to participate in the creation of programs for the efficient use of public resources. ""I decided to take part in the competition to help the Kherson region to establish urban and agricultural life,"" the man says. In his opinion, first of all, maximum digitalization should be carried out in the region. - The first priority is people. Therefore, it is necessary to determine the composition and number of social groups, conduct medical examinations, introduce digital services of the Russian Federation for citizens,"" said Artem Chesnoko. - Next - finance, taxes and fees, work with business, establishment of supply chains from other regions of Russia, digitization of utilities. By doing so, we will enormously reduce the cost of its maintenance and make it convenient and transparent to pay for services. The teacher, who now lives in St. Petersburg, Oleg Zaika has extensive experience in state municipal and military service. He is a captain of the second rank of the reserve, worked in the administration, deputy head of the regional UFAS, participated in the contest ""Leaders of Russia"" in all seasons. - I know that now in the Kherson region there is a difficult situation, including with personnel. I would like to take part in the restoration of peaceful life, - said Oleg Zaika. The head of the supply department of the furniture factory Yulia Ivanishcheva decided to register for the competition to participate in the development of her native land. - Kherson region is my small homeland. I want to help, because I know everything from the inside, I lived there for most of my life. If you look at the latest events, it turns out that the region is rich in itself, but everything faded away and stood still, - says Julia. According to the participant, if production is revived, then there will be opportunities, and people, and salaries, and prospects, will again be alive of the city. - We are a big country, we have a lot of good specialists; people know their business in practice and are ready to raise enterprises, cities, regions. As a specialist in my field, I am ready to act, the competition can unite us, and together we are a force,"" she added. The general director of the construction company from the Krasnodar Territory, Nadezhda Aseeva, became a participant in the competition, as she wants to contribute to the restoration of new Russian regions. - I am patriotic and think that I can realize my desire to help the people who are there. I have good analytical skills, I am able to quickly identify a problem and quickly find its solution, I work well in a team,"" she said. - The development of Kherson region is a well-coordinated teamwork, and I will be happy to join. ATTENTION. A few days remain before the end of registration for the contest ""Leaders of Revival"". Already on November 21, access will be closed. Participants who manage to fulfill all the conditions within the specified time will be admitted to the next - remote stage of the competitive selection. To take part in the contests, you must register on the website: leaders of revival.rf. KSTAT. What the winner will get. The winners and participants who made it to the finals will replenish the regional talent pool. After completing the training, they will be employed in senior positions in the structures of state power and regional self-government bodies. In addition, the laureates will receive 1 million rubles each, which can be spent on training in Russia."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683427/,Alexandra Timoshchenko,2022-11-09,Everything is according to the law,Prosecutor's office organized in Kherson region,"In the summer, temporary departments of the Ministry of Internal Affairs of Russia appeared in the new Russian territories. Then the territorial bodies were fully formed, the employees of the units were already patrolling the streets, ensuring road safety, conducting operational search measures and investigative work. But Russia is expanding its borders, so in the Kherson and Zaporozhye regions, Donetsk and Lugansk People's Republics, the prosecutor's office of the Russian Federation has been formed. This was stated by the press service of the Prosecutor General's Office of the Russian Federation. - Prosecutor General of the Russian Federation Igor Krasnov signed orders on the formation of prosecutor's offices of the Donetsk and Lugansk People's Republics, Kherson and Zaporizhia regions in the system of the Prosecutor's Office of Russia in order to organize proper prosecutorial supervision in the educated subjects of the Russian Federation, the report said. The press service clarified that after the signing of the order, the formation of prosecutor's offices will be provided for in these regions, and subordinate prosecutor's offices will also be organized, included in the regions of cities, districts and other territorial and specialized prosecutor's offices equated to them. Further implementation of measures related to the formation of new prosecutor's offices will be handled by specially formed commissions. Organizational measures have been taken to fill vacant posts of heads of educated prosecutor's offices. - With the advent of Russia, it has become safe in our cities again. Previously, we were not so sure of the order on our streets, because often there were situations that the police did not care about. Finally, we see a completely different situation. Thanks to Russia, - says a resident of Kherson Nadezhda. Recall that in the Donetsk People's Republic, the work of the prosecutor's office was organized in the first year of the proclamation of the state. It was headed by the first prosecutor of the republic Andrei Spivak."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683424/,Marina SMIRNOVA,2022-11-19,A charitable foundation from Chechnya helped traffic police officers,"The department received equipment, radios and other necessary equipment","The head of Chechnya, Ramzan Kadyrov, is hotly worried about the residents of the Donetsk People's Republic. And he helps with deeds. So, the other day the equipment for the employees of the State Traffic Police was delivered by the head of the traffic police of the Ministry of Internal Affairs in Chechnya Idris Cherkhigov. The guest who arrived at the special operation zone handed over to the head of the State Automobile Inspectorate Roman Emelyanov sets of winter equipment, special signals, cockades, light beams, radios and other equipment. All clothes and equipment were purchased at the expense of the Chechen charitable foundation, which bears the name of Ramzan Kadyrov's father, Akhmat Khadzhi. ""I am sure that the assistance provided will serve as an impetus to improve the level and quality of the work of the whole department - the State Automobile Inspectorate of the Ministry of Internal Affairs of the Donetsk People's Republic,"" Ramzan Kadyrov said. He noted that many volunteers from Chechnya are sent to help Donbass. The military helped liberate Mariupol. Now one of the tasks is to catch saboteurs. Thanks to information from local residents, the military identified dozens of caches of weapons and covered another sabotage group. - And this is an excellent result, which we are proud of! Kadyrov said. According to him, the elimination of sniper pillboxes, as well as the identification of saboteurs and gunners directly on the front line, allows Russian forces to move forward with minimal losses. ""I remember how the guys from Chechnya came to Volnovakha,"" says local resident Tatyana Belostokova. - They brought food, water. And then at the local market they bought all the fruits and vegetables and distributed them to local residents. People cried when they got help. Some grandmothers tried to feed pancakes. But the guys didn't eat. They said they were in a hurry to Mariupol."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4683421/,Irina GERTS,2022-11-19,In memory of Kirill Stremousov,He was never afraid to tell the truth.,"What was the deputy head of the administration of the Kherson region, who climbed on the horn for the benefit of local residents. In early November, all Russians were shocked by a terrible event - in a road accident near Genichesk, deputy chairman of the administration of the Kherson region Kirill Stremousov died. The man who was never afraid to tell the truth and made a huge contribution to the freedom and formation of a new region of Russia was only 45 years old. The future fighter for justice in the Kherson region was born in the village of Golmovsky, Donetsk region in 1976. It is noteworthy that after almost three decades, Donbass will be the first to begin the path of confrontation with the Ukrainian regime. The political path of Kirill Stremousov did not begin immediately. After graduating first from the Motor Transport College, and then the West Ukrainian National University, the future deputy head of the administration of the Kherson region chose a career as an entrepreneur - he became the owner of a company for the production of fish feed, and later faced with the corruption of the fish inspectorate, decided to change the situation and got a job in the department. Kirill's honesty and dedication were appreciated - in 2007 he was appointed to a senior position in the Kiev Committee of Fisheries. The new Ukrainian regime has always been Kirill's tycoon, so he could not work for a long time among the officials of the independent politician - in 2009 he left the capital's career and went to Kherson. Moving to Kherson became for Kirill Stremousov a starting point to a new chapter of life. As he later said in an interview, at that time his weight was about 125 kg, and his health was deteriorating sharply. Kirill understood that something needs to change in life. The former entrepreneur completely abandoned alcohol and tried to adhere to a healthy diet. Yoga helped Kirill to put his body in order. In 2011, a man tired of the oppressive Ukrainian regime went on a trip, having received a work visa to the United States. For several years he hitchhiked in the United States, Central and South America, and then wrote a book about his impressions ""Notes of a Motorcyclist"". Love for the Motherland prevailed, and Kirill could not stay abroad for a long time. Returning to Kherson, he clearly understood that if it is not possible to exist in a nationalist political regime, then something needs to change. At first, Kirill Stremousov engaged in public activities - he took the post of chairman in the local branch of the Christian Democratic Union party, headed the public organization ""Anti-Criminal Choice"" and gave lectures to young people. Stremousov also created the Ukrainian Center for Environmental Self-Defense and the Tavria News Agency. In 2014, when his native Donbass had just begun the struggle for independence from Ukraine, Kirill Stremousov organized an anti-Maidan rally in Kherson. The honesty and openness of the man won the trust of local residents, and soon Stremousov became the chairman of the Kherson branch of the Socialist Party of Ukraine. Even then, Kirill realized that the future of the region is only with Russia. In 2021, he became a member of the pro-Russian Derzhava party. With the beginning of the special operation, the politician immediately openly expressed his position. As the head of the Crimea, Sergei Aksyonov, would later say at the farewell ceremony with Kirill Stremousov, he was never ""afraid to climb on the horn."" Thanks to his honesty and courage, Kirill won the trust of Kherson residents, so local residents had no doubt that he would become the ""first hand"" of the head of the administration of the new region, Vladimir Saldo - the former mayor of Kherson. Kirill Stremousov did not go through his political and social path alone. Next to him was always his beloved wife Oksana, who supported him in all his endeavors. The couple raised five children - sons Yaroslav, Zlatomir, Lev and daughters Milada and Amelia. Soon Kirill was preparing to become a father for the sixth time - Oksana is pregnant with a daughter. Unfortunately, fate decreed otherwise. The farewell ceremony with the deceased vice-governor of the Kherson region took place in the Alexander Nevsky Cathedral in Simferopol two days after his death - on November 11. Kirill Stremousov was buried in the Crimean capital - the city of Simferopol. Relatives wished to avoid excessive publicity and decided to say goodbye to their loved one in a quiet environment. The grave of the vice-governor of kherson region is strewn with flowers, wreaths and farewell notes from relatives and friends. In honor of Kirill Stremousov, they plan to name one of the streets in Simferopol, and according to Vladimir Saldo, a monument to the fearless politician will certainly appear in the Kherson region. After all, Kirill Stremousov made an undeniable contribution to the Kherson region - he was not afraid to be the first to start the struggle to make the region free."
