LABEL,able,according,action,added,administration,aid,air,aircraft,alexander,ally,american,ammunition,announced,anti,area,arm,armed,armored,army,artillery,assistance,attack,authority,bakhmut,battle,began,biden,billion,border,building,called,came,case,center,change,child,china,city,civilian,combat,come,commander,company,conflict,continue,control,country,course,crimea,day,decision,defense,department,deputy,despite,destroyed,did,direction,doe,don,donbas,donetsk,drone,earlier,effort,end,enemy,energy,equipment,eu,europe,european,fact,far,february,federation,fight,fighter,fighting,force,foreign,fox,friday,general,german,germany,going,good,government,ground,group,gun,ha,hand,head,help,high,hit,home,house,important,including,information,intelligence,international,invasion,issue,just,kherson,kiev,killed,know,kremlin,kyiv,large,launch,leader,left,leopard,life,like,line,listen,local,long,loss,main,make,medium,meeting,member,military,million,minister,ministry,missile,monday,month,moscow,mr,nation,national,nationalist,nato,near,need,new,news,noted,nuclear,number,offensive,office,officer,official,old,operation,order,peace,people,personnel,place,plan,point,poland,political,position,possible,power,president,provide,putin,question,range,read,received,recent,region,report,reported,representative,republic,resident,result,right,rocket,russia,russian,said,sanction,say,secretary,security,send,senior,sent,service,serviceman,shell,situation,small,soldier,south,soviet,special,state,statement,strike,supply,support,talk,tank,target,task,territory,thing,think,thousand,time,today,told,took,training,troop,tuesday,ukraine,ukrainian,unit,united,use,used,vehicle,village,visit,vladimir,volunteer,wa,want,war,washington,way,weapon,wednesday,week,west,western,work,world,year,zelensky
FoxNews,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,3,1,0,0,0,1,2,0,0,3,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,2,0,6,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0
RussiaToday,0,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,6,0,2,0,0,0,0,0,1,4,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0
RussiaToday,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,1,0,1,0,0,0,1,1,5,0,2,2,0,0,0,0,0,1,0,2,2,1
NYTimes,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,4,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,1,1,0,1,1,3,0,0,1,0,2,0,2,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,2,0,0,6,1,0,0,1,2,2,1,0,1,0,4,0,11,0,0,0,3,0,0,0,0,1,0,7,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,0,0,1,6,0,2,0,0,1,1,1,3,3,2,0,3,2,2,2,1,0,0,0,4,0,0,8,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,1,10,14,16,0,1,2,0,1,1,2,0,0,2,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,1,1,0,2,0,0,1,2,9,12,1,1,0,0,0,0,0,1,0,3,1,7,1,2,0,6,2,0,5,0,2,3,3
RussiaToday,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,0,4,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,3,0,0,0,2,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,4,0,2,0,0,1,2,5,7,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,5,0,0,0,0
RussiaToday,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,1,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,8,3,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,2,0,1,0,0,0,1
RussiaToday,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,3,0,0,0,1,0,0,1,1,0,2,0,0,0,0,5,1,1,0,0,0,1,3,0
RussiaToday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,3,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,4,0,1,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,1,1,0,2,0,0,1,0
RussiaToday,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,3,0,0,0,2,0,0,0,0,0,4,1,0,1,0,0,2,0,1,1,0,0,2,0
RussiaToday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
