source,country,link,author,published,headline,subheading,content
RussiaToday,Russia,https://www.rt.com/russia/572669-ukraine-energy-infrastructure-damaged/,,"Mar 9, 2023 08:25  ","
                Ukraine reports multiple missile strikes on key infrastructure
            ","
                                                                        Kiev’s energy minister says key sites in seven regions have come under attack
                                                            ","Energy infrastructure has come under attack in a number of Ukrainian regions, the country’s energy minister, German Galushko, stated on Thursday morning.Power-related sites in Kiev, Nikolaev, Kharkov, Odessa, Dnepropetrovsk, and Zhitomir Regions were struck by Russian missiles, Galushko claimed.He added that Zaporozhye – which joined Russia after a referendum described as a “sham” by Kiev last year – was also affected. The northern part of the region is under Ukrainian control.Kiev’s top military commander, General Valery Zaluzhny, added that Russia’s latest barrage involved over 80 missiles targeting sites across the country.The commander-in-chief of the Ukrainian armed forces said that Russia had launched six hypersonic Kinzhal missiles, as well as eight kamikaze drones. He claimed that many of them were intercepted or diverted from their intended targets.The Ukrainian nuclear authority Energoatom reported that electricity supply to the Zaporozhye Nuclear Power Plant, which is controlled by Russia, had been cut.It claimed the power loss was due to “Russian rocket shelling,” but Vladimir Rogov, a senior Russian official in Zaporozhye Region, denied that there was any military action in the area that could have impacted supply. He alleged that Ukrainians had shut down the link “out of spite,” forcing the use of on-site backup generators.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            Missile strikes reported across Ukraine
        
    

DTEK, a leading Ukrainian utility, said that three power plants were damaged, without specifying their locations. A company update on repair work indicated that Odessa Region was one of those affected.Kiev Mayor Vitaly Klitschko stated on social media that there were at least two powerful explosions in the Ukrainian capital, with two people said to be injured. Roughly 40% of electricity consumers in the city have been left without power due to emergency shutdowns, he said.Blackouts have been announced as a “preventive step” to avoid possible damage to the grid, according to the Kiev Region administration. The disruption prompted national train operator Ukrzaliznytsia to roll out backup diesel trains, notifying passengers of expected delays.
  
  READ MORE:  
  Russian nuclear plant guards fired on – official
The Russian armed forces have launched regular attacks on parts of Ukraine’s energy infrastructure, which they describe as crucial to its military capabilities, though Moscow has yet to confirm Thursday’s alleged missile barrage."
RussiaToday,Russia,https://www.rt.com/russia/572668-nazi-celebration-white-house/,,"Mar 9, 2023 07:23  ","
                Moscow condemns ‘Nazi celebration’ at White House
            ","
                                                                        The US has bestowed a prestigious award on a female member of an ultra-nationalist   Ukrainian battalion
                                                            ","The decision by the White House to bestow an International Women of Courage Award on a member of an infamous far-right Ukrainian nationalist battalion is “disgraceful,” Moscow’s ambassador to the US, Anatoly Antonov, said on Thursday. He claimed that the move was further evidence that Washington is ready to support Nazis in the fight against Russia.Speaking to reporters, Antonov was asked to comment on the award received at the White House by Yulia Paevskaya, who goes by the nickname ‘Taira’. The ambassador said Moscow had noted the honoring of a member of the Azov battalion, a Ukrainian unit closely associated with neo-Nazi ideology, on International Women’s Day.This is a disgrace. It is incomprehensible that Nazis can be celebrated within the walls of the White House.Antonov described Paevskaya as a “terrorist cutthroat whose hands are covered in the blood of the elderly, women, and children.” He alleged that in March 2022, as the fighting raged in the besieged city of Mariupol, which is now part of Russia, Paevskaya “pretended to be a mother of two children whose parents she had killed herself,” and then tried to escape disguised in civilian clothing.Ukrainian paramedic and volunteer Yuliia ""Taira"" Paievska is to receive an International Women of Courage Award (IWOC), presented by the US Department of State.Source: US Department of State pic.twitter.com/HQjSBLPozq— Ukrainian News24 (@UkrainianNews24) March 7, 2023“The abducted minors later confessed that Paevskaya had threatened them with violence,” the diplomat added.Paevskaya was captured by Russian forces in Mariupol in March last year. In June, Ukrainian President Vladimir Zelensky announced that Kiev had managed to free her from captivity.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            ‘There is another Ukraine’ – exiled opposition leader to RT
        
    

Paevskaya also took part in the Western-backed coup in Kiev in 2014, trained neo-Nazis in the Donbass region, and “committed crimes against civilians,” Antonov claimed. He noted that the Azov battalion bears the symbol of a Nazi German SS division, referring to the Wolfsangel (wolf’s hook), an insignia that was used by the 2nd SS Panzer Division Das Reich during World War II.Antonov asserted that Washington is well aware of this information, but “to hurt Russia, the United States is willing to glorify Nazism.” He added that the US authorities should be “ashamed” of themselves for dishonoring the American and Soviet veterans who fought against fascism during World War II.The International Women of Courage Award is a prize annually distributed by the White House. This year, in addition to Paevskaya, it was bestowed upon 10 other “extraordinary women… who are working to build a brighter future for all.”"
RussiaToday,Russia,https://www.rt.com/russia/572659-ukraine-georgia-protest-foreign-agents/,,"Mar 8, 2023 22:33  ","
                Ukraine endorses Georgia unrest
            ","
                                                                        Vladimir Zelensky wished “democratic success” to activists besieging the parliament in Tbilisi 
                                                            ","Ukrainian President Vladimir Zelensky has endorsed the protesters who have attempted to storm the parliament in Georgia, thanking them for using the flag and anthem of Ukraine in their campaign against a law targeting “foreign agents.”“I want to thank everyone who put up Ukrainian flags on the squares and streets of Georgia,” Zelensky said on Wednesday evening, in Ukrainian. “I want to thank [you] for our national anthem, which was heard in Tbilisi. This is respect for Ukraine, and I want to express my sincere respect for Georgia.”“There is no Ukrainian who would not want the success of our friendly Georgia. Democratic success. European success,” Zelensky added. Ukraine, Georgia, and Moldova will become members of the European Union because “all the free peoples of Europe deserve it,” he claimed. For the second day in a row, thousands of people surrounded the parliament building in Tbilisi on Wednesday evening, with some of them breaking windows and attempting to breach the gates. Police used tear gas, flash-bangs, and water cannon to disperse the crowd after officers were attacked with rocks, bottles, and fireworks.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            Opposition besieges Georgian parliament
        
    

The protesters demanded the recall of a bill currently before the legislature, which would require any organization receiving 20% or more of its funding from abroad to register as a foreign agent.Georgia’s opposition parties have denounced the law as “Russian.” The US Embassy in Tbilisi warned that adopting it would mean a “dark day for democracy,” and the State Department threatened sanctions against the Georgian government.Many of the protesters carried signs in English and waved US, EU, and Ukrainian flags. The opposition, as well as President Salome Zurabishvili, claimed the proposed law would derail Georgia’s “Euro-Atlantic integrations.”Irakli Kobakhidze, head of the ruling Georgian Dream party, has denounced the opposition as spies attempting to reinstate the 2003-2012 ‘Rose Revolution’ regime. Georgia was fighting to protect its sovereignty from “extremist organizations” funded from abroad and engaging in “Bolshevik propaganda,” he said on Wednesday."
RussiaToday,Russia,https://www.rt.com/news/572660-poland-nord-stream-sabotage-beneficial/,,"Mar 8, 2023 22:19  ","
                Polish president claims Nord Stream blasts were ‘beneficial’ for Europe
            ","
                                                                        The sabotage last year disrupted Moscow’s plans for ‘dominance,’ Andrzej Duda has argued
                                                            ","The destruction of the Nord Stream pipelines delivering Russian gas to Europe was a good thing, Polish President Andrzej Duda told CNN on Wednesday. He claimed that the sabotage had freed the continent from Moscow’s plans for “dominance,” adding that it had ended Poland’s dependence on Russian gas.The comments followed media reports that pro-Ukrainian forces may have been behind the attack on the pipeline, which took place in September 2022. Duda said he could not confirm those claims, but insisted that if Nord Stream ceased to exist, it would be “beneficial” for Europe.Poland was a major opponent of the gas pipeline project and even lobbied for it to be dismantled in August 2022, roughly a month before the attack. Duda also called the project part of Europe’s appeasement strategy in relations with Russia.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            Claims of Ukrainian link to Nord Stream sabotage ‘hypothetical’ – Germany
        
    

Earlier this week, citing US intelligence sources, the New York Times reported that a “pro-Ukrainian group” was behind the September 2022 attack. The outlet also stated that Western intelligence agencies were aware of the identity of the person behind the sabotage, but decided to conceal the information to avoid a spat between Berlin and Kiev because the suspect has ties to Ukraine.The Polish president, who spoke to CNN during a visit to the United Arab Emirates, also suggested handing all Polish MiG-29 fighter jets over to Kiev, but only as part of an international coalition. “We are ready to deliver these planes, and I am sure that Ukraine would be ready to use them immediately,” he said, without specifying how many Soviet-made planes Warsaw still has in its arsenal.Duda called for Ukrainian pilots to be trained to operate US-made F-16 fighter jets, arguing that Kiev’s forces would in any case be eager to be “up to NATO standards.” “The training of Ukrainian pilots is important and it is quite necessary,” he added.According to CNN, at least two Ukrainian pilots are currently in the US, where they are using flight simulators to see how much time they would need to learn to fly various American-made military aircraft."
RussiaToday,Russia,https://www.rt.com/news/572658-kevin-mccarthy-zelensky-kiev/,,"Mar 8, 2023 21:00  ","
                US Republican leader says no to Zelensky
            ","
                                                                        With his party split on continued military aid to Ukraine, Kevin McCarthy said he won’t visit Kiev
                                                            ","Ukrainian President Vladimir Zelensky has invited US House Speaker Kevin McCarthy to visit Kiev, in a bid to “help him with his position” on military aid to the country. While McCarthy has promised not to authorize “blank checks” to Kiev, he backed a multibillion dollar arms package last year.“Mr. McCarthy, he has to come here to see how we work, what’s happening here, what war caused us, which people are fighting now, who are fighting now. And then after that, make your assumptions,” Zelensky told CNN on Wednesday. Visiting Ukraine, Zelensky continued, “would help [McCarthy] with his position.”Dozens of Democrats and Republicans have made the journey to Kiev in the year since Russia’s military operation in Ukraine began. President Joe Biden visited the Ukrainian capital last month, while McCarthy’s predecessor, Nancy Pelosi, met with Zelensky in Kiev last May.McCarthy has not made the trip, and told CNN that he has no plans to change this. “Let’s be very clear about what I said: no blank checks, OK? So, from that perspective, I don’t have to go to Ukraine to understand whether there’s a blank check or not,” he argued. “I will continue to get my briefings, but I don’t have to go to Ukraine or Kiev to see it.”
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            US House Speaker to meet Taiwan’s leader – media
        
    

While the Democratic Party has unanimously backed President Biden’s policy of propping up Ukraine’s government and military “for as long as it takes,” the GOP is split on the issue. Although McCarthy sided with the majority of House and Senate Republicans in authorizing a $40 billion package of military and economic aid for Ukraine last summer, he led the party’s campaign to retake the House of Representatives in November with a promise to veto any further “blank checks” for Kiev.He has since stated that he now supports increased oversight of this aid, rather than a reduction. Furthermore, he criticized Biden on Wednesday for not acting “quickly enough” to arm Ukraine, in CNN’s words. Despite the Republicans winning a majority in the House, McCarthy still had to negotiate with more than a dozen hardline conservative holdouts to win the speakership vote, many of them opponents of continued US assistance to Ukraine. One of the concessions struck between McCarthy and this group was a measure that would allow him to be removed as speaker with only five votes, meaning he has to work to keep skeptics on side.Eleven such lawmakers, led by Florida Rep. Matt Gaetz, recently introduced a resolution seeking to cut off the supply of arms to Ukraine and demanding that Zelensky pursue peace talks with Russia."
RussiaToday,Russia,https://www.rt.com/news/572654-switzerland-ukraine-weapons-neutrality/,,"Mar 8, 2023 19:04  ","
                Switzerland clarifies stance on military aid for Ukraine
            ","
                                                                        Sanctions against Moscow remain ""compatible with neutrality"" but exporting arms to Kiev does not, Bern said
                                                            ","Swiss President Alain Berset has stressed that the Alpine country’s constitutional stance of neutrality forbids it from exporting arms to Ukraine during its conflict with Russia. However, he added that supporting Western sanctions against Moscow doesn’t contradict Switzerland’s neutrality.""The discussion about the export of arms, weapons… while we have [our] legal framework in Switzerland, it is not possible to do it,"" Berset said to reporters on Tuesday following meetings at the United Nations.Despite Switzerland not being an EU member state, Bern has adopted several of the European bloc’s sanctions targeting Russia. Berset met with Ukraine President Vladimir Zelensky last week and emphasized his country’s ""strong humanitarian commitment to Ukraine."" Swiss lawmakers last month proposed a near-$140-million package designed to provide support in demining and humanitarian efforts in Ukraine.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            Switzerland reveals German tank deal proposal
        
    

Switzerland’s constitution dictates that Swiss-made weapons and ammunition cannot be exported to warring countries – but this long-held stance has critics in parliament. Liberal politician Thierry Burkart said last month that Swiss policy is in effect ""preventing our Western partners from supporting Ukraine.""Swiss weapons sold abroad are also barred from re-exportation to a third-party country if it is at war. German arms manufacturer Rheinmetall requested permission last month to purchase Swiss-made Leopard tanks, with Germany giving assurances they wouldn’t be transferred to Ukraine. Bern has rejected arms transfer requests from Germany, Spain and Denmark in spite of lobbying from Kiev.Berset, however, offered a glimmer of hope to parliamentary critics of Swiss military exportation policies, suggesting that Bern’s stance could switch if there is a ""change [to] this legal framework.""The 50-year-old politician was elected to the country’s presidency for a second time in December and took office on January 1. The country operates a one-year rolling presidency policy, with a new leader to be elected in December 2023."
RussiaToday,Russia,https://www.rt.com/news/572646-german-defense-minister-nord-stream/,,"Mar 8, 2023 16:09  ","
                Claims of Ukrainian link to Nord Stream sabotage ‘hypothetical’ – Germany
            ","
                                                                        Defense minister tight-lipped on fresh reports about damage to key pipelines
                                                            ","German Defense Minister Boris Pistorius has dodged a question about how the Nord Stream sabotage case could influence Western military aid for Kiev if it turns out that pro-Ukrainian groups were behind the Russian gas pipeline blasts.It is of no use to speculate on “hypothetical” indications, the minister told national news radio Deutschlandfunk (DLF) on Wednesday, following several media reports linking the incident, which occurred in September 2022, to alleged Ukrainian perpetrators.“We’ll have to wait and see what is actually confirmed,” Pistorius told DLF’s Barbara Schmidt-Mattern when asked about the media reports. On Tuesday, a host of German media outlets, including Die Zeit newspaper and state broadcaster ARD, reported that a vessel believed to be linked to the Nord Stream sabotage operation allegedly belongs to a Ukrainian-owned company. The reports also said that a Western intelligence agency is thought to have informed European “partner services” that a “Ukrainian commando” unit was behind the attack.The New York Times reported on the same day, citing US intelligence sources, that a “pro-Ukrainian group” was behind the September 2022 attacks. Pistorius brushed off the claims presented in the reports as “hypothetical” and maintained that the sabotage act might have been aimed at framing Ukraine.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            West knows who is responsible for Nord Stream attack – The Times
        
    

The chance of it being a false-flag operation is as “equally high” as the chance of Ukrainians being behind it, the minister said. Berlin has so far not made any investigation results public. Sweden, Denmark, and Germany have “informed the United Nations Security Council that the investigations are ongoing and that there are still no results,” a government spokesman declared on Tuesday.Pistorius also insisted it would make little sense to “think about what impact this would have on our support for Ukraine on the basis of such a [journalistic] investigation” when asked about the potential fallout of a probe into the Nord Stream sabotage.The minister said that Germany and its allies continue to supply Kiev “to the best of our ability.” He added, though, that Ukraine’s Western backers can only provide ammunition for the Ukrainian troops as long as it does not compromise their own defense capacities.“We need certain reserves to maintain our own ability to defend ourselves,” Pistorius said, calling limited defense industry production capacities a real “bottleneck” limiting Western military aid for Ukraine.His comments came as The Times reported that Western intelligence agencies were well aware of the identity of a person behind the attack on Nord Stream. They decided at the time to conceal this information to avoid a spat between Berlin and Kiev, since the suspect had ties to Ukraine, the paper claimed."
RussiaToday,Russia,https://www.rt.com/news/572641-poland-money-ukrainian-refugees/,,"Mar 8, 2023 14:39  ","
                Poland wants money back from Ukrainian refugees – media
            ","
                                                                        Citizens from the war-torn country unduly received some $450,000, Rzeczpospolita has reported
                                                            ","Polish officials are trying to recover social assistance funds they unduly allocated to Ukrainian refugees after they had left Poland, Rzeczpospolita reported on Wednesday.According to the outlet, Poland’s Social Insurance Institution (ZUS) paid some two million Polish zloty ($450,000) to Ukrainians through two programs that handed out monthly payments of 300 ($67) and 500 zloty ($112) a month per child despite the refugees having no right to this assistance.However, the real amount of the aid distributed without valid reason may be even higher, the report says. So far, out of this sum, ZUS is believed to have retrieved only 35,300 Polish zloty ($8,000).ZUS spokesman Pawel Zebrowski told the Polish daily that the organization “successively issues further decisions on unduly collected benefits and obliges its beneficiaries to return them,” adding that they have two years to do that.As things currently stand, if a Ukrainian refugee leaves the territory of Poland, the assistance he receives from local authorities or ZUS gets suspended. Should the refugee stay outside of Poland for more than 30 days, he completely loses the right to all benefits associated with this status.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            READ MORE: Poland cuts aid for Ukrainians
    

Warsaw has tightened its rules for Ukrainian refugees in recent weeks. From March 2023 onwards, they will be allowed to live in temporary accommodation for free for only 120 days from the moment they arrive in the country. After that, they will have to cover 50% of their living costs, but no more than $9 per day. In May, these figures are set to increase to 75% and $13 respectively.As per the new rules, ZUS has temporarily stopped paying benefits to some 3,200 Ukrainian citizens that have left the country. However, Zebrowski promised that the assistance would be restored if the refugee returned within a month.Since the start of the conflict between Moscow and Kiev in February 2022, millions of Ukrainian refugees have fled the country to the EU, with neighboring Poland becoming one of their main destinations. According to UN data, more than 1.5 million registered Ukrainian refugees still remain on the nation’s territory."
RussiaToday,Russia,https://www.rt.com/russia/572640-zelensky-bakhmut-defense-city/,,"Mar 8, 2023 14:07  ","
                Zelensky explains why he’s so determined to hold key Donbass city
            ","
                                                                        Russian troops will have a foothold for a new offensive after they take Artyomovsk, the Ukrainian president said
                                                            ","Russian forces will have an “open road” to more Kiev-held parts of Donbass if they win the fierce battle for the city of Artyomovsk, Ukrainian President Vladimir Zelensky said in an interview aired by CNN on Tuesday.He denied claims that his top general had urged him to withdraw troops from the area.The fight for Artyomovsk, known in Ukraine as Bakhmut, has been raging since August. The stronghold is a logistics hub and major foothold for Kiev’s soldiers in the Donetsk People’s Republic. Zelensky told CNN’s Wolf Blitzer that the battle was “tactical for us.”“We understand that after Bakhmut they could go further. They could go to Kramatorsk, they could go to Slavyansk, it would be [an] open road for the Russians after Bakhmut to other towns in Ukraine, in the Donetsk direction.”Zelensky suggested that if the city falls to Russian forces, it will help “mobilize their society” and bolster domestic support for the Russian army.
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            Wagner chief reports progress in key Donbass city
        
    

On Monday, German newspaper Bild cited Ukrainian government sources as saying that General Valery Zaluzhny, Ukraine’s top commander, called for a withdrawal weeks ago. Zelensky’s office released a statement the same day maintaining that the top brass, including Zaluzhny, backed the decision to carry on the defense of the city.Speaking to CNN, Zelensky denied that he was at odds with his commanders. “I never heard anything like that,” he said, claiming that such reports were “created in the Russian Federation.”On Wednesday, Yevgeny Prigozhin, the head of the Russian private military company Wagner Group, said his fighters had gained full control of the eastern part of Artyomovsk, which is separated from the rest of the city by the Bakhmutka River. Prigozhin stated earlier that Russian soldiers had practically surrounded Artyomovsk, with only a single road available for Ukrainian forces to move in and out.US Secretary of Defense Lloyd Austin claimed earlier this week that Artyomovsk’s importance was more symbolic than operational. However, Russian Defense Minister Sergey Shoigu said that taking the city would allow for “further offensive actions” against the Ukrainian forces."
RussiaToday,Russia,https://www.rt.com/russia/572637-latvia-drunk-cars-ukraine/,,"Mar 8, 2023 13:30  ","
                EU country donates confiscated vehicles to Ukraine
            ","
                                                                        The Latvian parliament last month authorized the government to give vehicles seized from drunk drivers to Kiev
                                                            ","The Latvian government has donated eight cars to Ukraine, after seizing them from drunk drivers, the Baltijas Balss news website reported on Tuesday. This follows parliament’s passing of a law allowing the EU country to donate state-impounded cars to Kiev.Latvian Finance Minister Arvils Aseradens announced the first shipment on Tuesday on Twitter, saying it only took about a month from conception to realization. The vehicles will be given to Ukrainian Interior Ministry forces, Vinnytsia Regional Hospital, and the Kupyansk Territorial Medical Association.Latvia’s Agendum movement, which gathers donations for Kiev, will organize delivery of the vehicles to the Ukrainian authorities. The group’s leader, Reinis Poznaks, wrote in a tweet on Wednesday that the cars will “redeem their alcoholic and ideological karma,” posting a picture of a car with a small Russian flag inside.The Latvian parliament made the legal change allowing the handover in February. Lawmaker Raimonds Bergmanis promoted the measure, which gathered broad support from all the other MPs. He argued that instead of selling or scrapping confiscated vehicles, “they would be a useful support for the people of Ukraine.”
    
                    
                            
                    
                    

                    
                    
                    
                
                
                
                    
                
                            
            Read more
            EU member approves giving drunk drivers’ cars to Ukraine
        
    

The law allowing the state to seize cars from drunk drivers was implemented in December. The vehicles are confiscated on a case-by-case basis, and the previous owners can buy them back at the market price.Police chief Armands Ruks told Latvian TV in February that inebriated drivers were still detained every day, but that the campaign was having a positive impact. When asked whether confiscating drunk drivers’ cars would improve road safety, he said it’s too early to draw conclusions."
